Change component parameters: Designator = "C1" ("C1"); Footprint = "WCAP-ATUL 6.3x11x2.5x0.5_90deg"; UniqueID = "\ABPMJXIT" ("\ABPMJXIT")
Change component parameters (AddParameter): Name = "ValueDescription"; Value = "Конденсатор полярный"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = " "" - "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueNote"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValuePackage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve4"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueTKE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueTolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueTU"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueType"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueType_TU"; Value = "Конденсаторы  "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueValue"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueVoltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "CAPC3225X220N"; UniqueID = "\BSOXUFUU" ("\BSOXUFUU")
Change component parameters (AddParameter): Name = "ValueDescription"; Value = "Конденсатор"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = " "" - "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueNote"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValuePackage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueReserve4"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueTKE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueTolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueTU"; Value = ""; VariantName = "[No Variations]"
